Ad tent-qeblent?
Ad ten-tseɛfemt?
Ad tent-seɛfent?
Ad ten-tseggmeḍ?
Ad ten-tseggmem?
Ad tent-seggmen?
Ad tent-snegren.
Ad tent-sseɣlin.
Ad tent-tamnemt?
Ad tent-teddmeḍ?
Ad tent-teddmem?
Ad tent-tleqqem?
Ad tent-tqebleḍ?
Ad tent-tqeblem?
Ad tent-tseɛfeḍ?
Ad tent-tseɛfem?
Ad tent-tseggem?
Ad tent-twanseḍ?
Ad tent-twansem?
Ad ten-twansemt?
Ad tent-wansent?
Ad ten-yesseɣli.
Ttxil-m, adef-d.
Ttxsɣ aklu anili
Tudef ɣer yigen.
Tudert i Maduro.
Tudert i tlelli!
Tudert wezzilet.
Tudrem tiṭṛujin.
Tufam iman-nwen?
Tufiḍ iman-nnek?
Tufid izen-nnes.
Tufiḍ-d imsujji?
Tuɣ din i nella.
Tuɣ walaɣ aqjun.
Tuɣaɣ nettẓalla.
Tuɣal d tuḥdiqt.
Tuɣal tedderɣel.
Tuɣaleḍ d uḥdiq.
Tuɣaled tusid-d.
Tuɣalem tusam-d.
Tugi ad teg aya.
Tuɣ-itt tegrint.
Tugniwin ggtent.
Tuɣwas s lxelɛa.
Tukḍemt aslagan.
Tuklalemt asmal.
Tuklalemt rrbeḥ.
Tulel igellilen.
Tulel-d Taninna.
Tuli tiseddaṛin.
Tulimt tiṭṛujin.
Tullemt mamma-s?
Tulsemt tudfemt.
Tumared s ugmuḍ.
Tumarem s ugmuḍ.
Tumaremt imir-a?
Tumenḍ ayen-nni?
Tumes teftist-a.
Tumned aya, naɣ?
Tumneḍ aya, naɣ?
Tumned ayen-nni?
Tumned Tom, naɣ?
Tumneḍ Tom, naɣ?
Tumneḍ-iyi tura?
Tumneḍ-tent dɣa?
Tumnem aya, naɣ?
Tumnem Tom, naɣ?
Tumnem-tent dɣa?
Tumnemt-tt, naɣ?
Tura ad t-nfakk.
Tura ɛeqleɣ-kem!
Tura ɛeqleɣ-ken!
Tura kan i tṛuḥ.
Tura-iyi-d izen.
Turam-as tabṛat?
Turew-d akniwen.
Turga ijagwaṛen.
Turiḍ isem-nnek?
Turiḍ-as tabṛat?
Turmed ṛṛuz-nni?
Tusa-d ar ɣuṛ-i.
Tusa-d ɣef lqis.
Tusa-d temsulta.
